product_id,product_name,category_name,brand_name,sku_name,standard_price,product_status,shop_id,listed_date,updated_at,etl_time,source_system,etl_batch
P000015,银杉家用电器商品15,家用电器,银杉,豪华款,3571.94,缺货,P000010,2024-03-13,2025-07-10 02:18:09,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000016,橙子图书文具商品16,,橙子,Pro版,8488.14,上架,P000016,2025-12-01,2025-12-19 16:52:43,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000017,山川家用电器商品17,家用电器,山川,标准款,9229.01,下架,P000014,2020-07-02,2025-02-11 18:43:56,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000018,山川家居家装商品18,家居家装,山川,青春版,888.49,缺货,P000004,2020-04-22,2024-10-17 04:07:46,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000019,海蓝食品生鲜商品19,食品生鲜,海蓝,豪华款,1798.73,下架,P000007,2021-09-04,2025-03-05 13:36:26,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000020,星河手机数码商品20,手机数码,星河,豪华款,8891.16,缺货,P000016,2021-02-20,2024-04-12 01:31:12,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000021,飞鹿服饰鞋包商品21,服饰鞋包,飞鹿,青春版,130.08,上架,P000011,2020-11-03,2025-05-08 04:49:00,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000022,飞鹿食品生鲜商品22,食品生鲜,飞鹿,豪华款,2961.33,下架,P000021,2021-08-19,2023-05-25 13:02:37,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000023,海蓝美妆个护商品23,美妆个护,海蓝,升级款,4574.48,下架,P000022,2024-03-27,2024-08-27 18:07:23,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000024,海蓝汽车用品商品24,汽车用品,海蓝,标准款,2542.93,缺货,P000020,2021-07-22,2024-09-21 11:35:17,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000025,云启汽车用品商品25,汽车用品,云启,标准款,7307.56,缺货,P000010,2024-10-03,2025-11-09 08:15:37,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000026,橙子汽车用品商品26,汽车用品,橙子,升级款,5576.07,上架,P000017,2023-01-20,2024-08-20 13:59:24,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000027,橙子家居家装商品27,家居家装,橙子,豪华款,8059.77,下架,P000006,2021-11-07,2025-02-20 16:23:16,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000028,极光母婴用品商品28,母婴用品,极光,升级款,637.65,上架,P000024,2025-04-28,2025-09-01 12:26:46,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000029,山川美妆个护商品29,美妆个护,山川,青春版,8113.87,缺货,P000024,2023-11-15,2025-05-11 14:49:50,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000030,飞鹿家用电器商品30,家用电器,飞鹿,Pro版,6492.44,缺货,P000011,2022-01-08,2023-11-25 17:31:03,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000031,云启手机数码商品31,手机数码,云启,青春版,123.08,缺货,P000027,2021-03-21,2022-10-08 20:49:40,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000032,星河家用电器商品32,家用电器,星河,青春版,3771.26,下架,P000007,2023-11-30,2025-07-31 01:13:20,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000033,橙子运动户外商品33,运动户外,橙子,标准款,149.65,下架,P000031,2021-03-06,2025-06-16 15:57:57,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000034,青木食品生鲜商品34,食品生鲜,青木,Pro版,5313.56,缺货,P000004,2022-09-16,2025-02-27 18:20:48,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000035,云启手机数码商品35,手机数码,云启,标准款,2302.51,下架,P000030,2020-05-29,2025-10-03 19:27:33,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000036,青木手机数码商品36,手机数码,青木,升级款,4089.92,下架,P000033,2021-06-17,2023-07-26 10:22:31,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000037,极光汽车用品商品37,汽车用品,极光,标准款,7883.09,缺货,P000036,2025-06-07,2025-06-12 22:41:22,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000038,银杉服饰鞋包商品38,服饰鞋包,银杉,Pro版,8837.98,缺货,P000014,2022-02-21,2023-10-12 08:28:25,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000039,星河图书文具商品39,图书文具,星河,青春版,2356.21,缺货,P000027,2024-09-07,2025-11-19 11:04:43,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000040,星河服饰鞋包商品40,服饰鞋包,星河,标准款,2495.04,缺货,P000013,2024-07-13,2024-08-18 02:06:30,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000041,北辰手机数码商品41,手机数码,北辰,升级款,6879.78,缺货,P000019,2020-04-14,2021-09-29 03:03:33,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000042,银杉家居家装商品42,家居家装,银杉,豪华款,65.05,上架,P000005,2021-04-22,2022-01-24 04:33:23,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000043,北辰家用电器商品43,家用电器,北辰,青春版,1558.61,上架,P000033,2023-10-23,2025-12-22 01:59:00,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000044,海蓝家居家装商品44,家居家装,海蓝,标准款,9469.55,缺货,P000017,2024-08-10,2025-08-30 06:42:25,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000045,极光服饰鞋包商品45,服饰鞋包,极光,豪华款,3828.55,下架,P000008,2021-12-08,2022-07-29 12:25:29,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000046,橙子服饰鞋包商品46,服饰鞋包,橙子,升级款,1866.9,下架,P000018,2022-09-29,2023-08-27 09:40:38,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000047,银杉服饰鞋包商品47,服饰鞋包,银杉,升级款,9112.93,上架,P000029,2021-03-12,2023-10-08 06:46:04,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000048,青木服饰鞋包商品48,服饰鞋包,青木,青春版,945.96,上架,P000023,2024-02-03,2024-08-13 17:39:21,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000049,北辰食品生鲜商品49,食品生鲜,北辰,豪华款,8226.15,缺货,P000012,2021-04-22,2023-06-03 07:11:39,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000050,青木家居家装商品50,家居家装,青木,升级款,5237.97,下架,P000014,2025-05-01,2025-10-11 20:11:18,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000051,青木运动户外商品51,运动户外,青木,标准款,5054.8,下架,P000044,2024-01-21,2025-01-02 03:40:44,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000052,北辰美妆个护商品52,美妆个护,北辰,Pro版,712.97,缺货,P000050,2021-11-02,2024-01-23 06:22:07,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000053,云启汽车用品商品53,汽车用品,云启,升级款,7668.58,下架,P000024,2021-07-31,2024-10-05 13:13:17,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000054,山川图书文具商品54,图书文具,山川,标准款,35.92,上架,P000033,2020-06-11,2020-08-03 19:02:43,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000055,银杉图书文具商品55,图书文具,银杉,豪华款,9378.15,缺货,P000041,2021-07-13,2023-04-25 01:42:34,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000056,橙子食品生鲜商品56,食品生鲜,橙子,豪华款,1476.99,上架,P000043,2021-06-09,2022-11-04 18:58:59,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000057,飞鹿家用电器商品57,家用电器,飞鹿,升级款,1937.66,缺货,P000040,2021-07-04,2024-09-06 15:48:06,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000058,云启图书文具商品58,图书文具,云启,豪华款,2651.77,缺货,P000021,2023-02-13,2025-12-30 08:46:46,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000059,北辰食品生鲜商品59,食品生鲜,北辰,升级款,7742.2,缺货,P000014,2024-08-15,2025-12-27 10:36:01,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000060,青木家用电器商品60,家用电器,青木,青春版,23.03,缺货,P000047,2020-12-24,2024-09-12 22:24:02,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000061,北辰食品生鲜商品61,食品生鲜,北辰,豪华款,9331.05,上架,P000042,2020-02-04,2024-10-05 19:47:01,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000062,海蓝母婴用品商品62,母婴用品,海蓝,Pro版,744.44,下架,P000055,2021-04-13,2022-08-28 12:55:52,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000063,北辰运动户外商品63,运动户外,北辰,青春版,9378.49,上架,P000048,2020-12-24,2021-11-20 01:21:15,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000064,飞鹿母婴用品商品64,母婴用品,飞鹿,标准款,1862.49,下架,P000022,2022-09-26,2024-07-10 09:39:24,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000065,飞鹿服饰鞋包商品65,服饰鞋包,飞鹿,Pro版,8797.26,上架,P000060,2025-05-27,2025-06-19 22:12:50,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000066,极光家居家装商品66,家居家装,极光,豪华款,774.3,上架,P000039,2021-01-17,2023-09-27 03:58:41,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000067,飞鹿图书文具商品67,图书文具,飞鹿,标准款,2502.78,上架,P000029,2025-07-22,2025-11-02 23:26:01,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000068,橙子家用电器商品68,家用电器,橙子,Pro版,6544.03,缺货,P000032,2022-04-25,2024-03-17 23:35:41,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000069,橙子家居家装商品69,家居家装,橙子,豪华款,3244.14,上架,P000035,2021-04-30,2023-12-12 02:03:52,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000070,飞鹿汽车用品商品70,汽车用品,飞鹿,升级款,6965.59,缺货,P000042,2020-10-05,2024-02-19 16:34:11,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000071,橙子家用电器商品71,家用电器,橙子,升级款,7213.83,缺货,P000042,2020-08-18,2020-10-17 18:21:31,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000072,云启母婴用品商品72,母婴用品,云启,豪华款,2723.91,缺货,P000035,2020-11-12,2022-03-06 15:51:03,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000073,银杉母婴用品商品73,母婴用品,银杉,标准款,1986.61,缺货,P000010,2020-11-04,2022-05-24 04:27:03,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000074,星河汽车用品商品74,汽车用品,星河,标准款,8139.78,下架,P000074,2023-05-15,2024-09-07 16:22:22,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000075,山川手机数码商品75,手机数码,山川,豪华款,2243.46,缺货,P000053,2025-11-27,2025-12-01 11:30:20,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000076,橙子家居家装商品76,家居家装,橙子,豪华款,3213.38,下架,P000076,2020-08-13,2022-09-26 18:42:19,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000077,海蓝美妆个护商品77,美妆个护,海蓝,Pro版,2209.7,上架,P000045,2025-12-22,2025-12-24 17:42:25,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000078,银杉母婴用品商品78,母婴用品,银杉,豪华款,2581.62,上架,P000050,2023-03-12,2024-12-22 20:35:18,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000079,山川运动户外商品79,运动户外,山川,升级款,4112.45,下架,P000011,2023-09-30,2025-02-07 11:51:06,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000080,银杉家居家装商品80,家居家装,银杉,豪华款,1898.07,上架,P000028,2020-01-17,2024-12-19 15:50:45,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000081,飞鹿家居家装商品81,家居家装,飞鹿,Pro版,7404.47,下架,P000002,2024-09-29,2025-08-29 19:38:43,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000082,青木食品生鲜商品82,食品生鲜,青木,标准款,6550.35,下架,P000048,2023-03-16,2024-10-17 05:41:23,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000083,云启食品生鲜商品83,食品生鲜,云启,升级款,7814.16,下架,P000041,2021-05-29,2022-12-18 01:08:08,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000084,银杉图书文具商品84,图书文具,银杉,青春版,4092.34,上架,P000046,2024-06-11,2025-09-04 03:28:37,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000085,海蓝汽车用品商品85,汽车用品,海蓝,豪华款,2348.8,上架,P000053,2020-10-27,2023-08-15 11:39:49,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000086,橙子家居家装商品86,家居家装,橙子,青春版,657.91,上架,P000081,2020-05-30,2025-07-09 22:30:58,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000087,飞鹿母婴用品商品87,母婴用品,飞鹿,Pro版,9011.26,下架,P000041,2025-02-23,2025-05-29 21:23:43,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000088,山川汽车用品商品88,汽车用品,山川,标准款,6576.05,缺货,P000055,2024-01-16,2024-09-30 05:35:27,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000089,银杉手机数码商品89,手机数码,银杉,Pro版,7128.2,上架,P000009,2021-06-19,2021-10-14 12:37:23,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000090,极光美妆个护商品90,美妆个护,极光,青春版,219.58,缺货,P000011,2021-10-08,2022-10-12 18:57:14,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000091,海蓝家用电器商品91,家用电器,海蓝,青春版,8647.26,下架,P000062,2024-06-15,2024-11-27 20:40:04,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000092,银杉母婴用品商品92,母婴用品,银杉,Pro版,3533.3,上架,P000037,2023-07-17,2024-01-01 06:46:19,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000093,云启美妆个护商品93,美妆个护,云启,升级款,6747.96,下架,P000007,2022-12-10,2025-01-22 17:18:07,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000094,青木家用电器商品94,家用电器,青木,升级款,1444.26,上架,P000029,2020-03-06,2024-06-01 08:22:03,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000095,青木汽车用品商品95,汽车用品,青木,标准款,4403.84,上架,P000045,2024-01-22,2024-10-18 10:56:01,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000096,银杉家居家装商品96,家居家装,银杉,Pro版,6435.92,上架,P000077,2020-11-26,2023-01-03 21:25:21,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000097,银杉家用电器商品97,家用电器,银杉,Pro版,6588.48,下架,P000090,2025-08-21,2025-11-25 19:07:09,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000098,星河家居家装商品98,家居家装,星河,青春版,9200.55,下架,P000039,2023-11-29,2024-02-16 11:17:32,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000099,云启运动户外商品99,运动户外,云启,标准款,5227.43,缺货,P000037,2024-01-24,2025-02-03 19:02:41,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000100,银杉美妆个护商品100,美妆个护,银杉,Pro版,9873.59,缺货,P000066,2021-03-26,2023-11-03 09:34:39,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000101,海蓝美妆个护商品101,美妆个护,海蓝,豪华款,6111.24,下架,P000022,2023-08-01,2024-10-11 12:21:12,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000102,银杉母婴用品商品102,母婴用品,银杉,Pro版,9399.94,上架,P000006,2022-05-30,2023-11-12 03:58:26,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000103,云启美妆个护商品103,美妆个护,云启,青春版,4367.41,缺货,P000070,2022-01-26,2025-06-10 19:13:21,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000104,橙子家居家装商品104,家居家装,橙子,青春版,3482.89,缺货,P000055,2025-06-27,2025-11-23 13:21:11,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000105,星河运动户外商品105,运动户外,星河,升级款,5886.35,上架,P000099,2020-01-08,2023-10-26 03:11:58,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000106,银杉家居家装商品106,家居家装,银杉,青春版,9052.58,下架,P000053,2023-05-09,2025-02-20 10:30:09,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000107,山川母婴用品商品107,母婴用品,山川,豪华款,4000.07,下架,P000075,2022-09-15,2022-12-13 17:32:08,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000108,橙子服饰鞋包商品108,服饰鞋包,橙子,豪华款,4560.07,缺货,P000096,2020-06-13,2022-10-29 13:54:14,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000109,北辰图书文具商品109,图书文具,北辰,标准款,3343.3,下架,P000089,2021-08-31,2025-03-13 23:59:26,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000110,飞鹿美妆个护商品110,美妆个护,飞鹿,Pro版,2123.18,上架,P000038,2020-09-30,2021-02-27 12:16:22,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000111,海蓝家居家装商品111,家居家装,海蓝,Pro版,3899.2,下架,P000002,2025-08-19,2025-12-27 13:44:01,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000112,橙子运动户外商品112,运动户外,橙子,豪华款,8320.47,上架,P000083,2024-05-12,2025-04-20 01:37:05,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000113,极光母婴用品商品113,母婴用品,极光,升级款,4110.49,缺货,P000012,2025-08-10,2025-09-30 12:02:38,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000114,极光美妆个护商品114,美妆个护,极光,Pro版,6438.24,上架,P000041,2024-02-16,2024-07-06 08:11:41,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000115,飞鹿图书文具商品115,,飞鹿,豪华款,1953.78,缺货,P000095,2021-03-11,2021-09-01 04:00:37,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000116,飞鹿食品生鲜商品116,食品生鲜,飞鹿,升级款,7209.18,上架,P000106,2021-02-26,2024-08-17 21:09:08,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000117,山川家用电器商品117,家用电器,山川,标准款,7048.07,缺货,P000075,2025-08-24,2025-10-13 20:26:11,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000118,北辰手机数码商品118,手机数码,北辰,标准款,8402.34,下架,P000096,2024-07-02,2024-10-06 22:35:21,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000119,青木母婴用品商品119,母婴用品,青木,升级款,4229.07,上架,P000064,2024-06-25,2025-06-24 07:38:57,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000120,银杉服饰鞋包商品120,服饰鞋包,银杉,豪华款,4863.15,缺货,P000117,2022-03-09,2025-11-08 20:38:14,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000121,海蓝家居家装商品121,家居家装,海蓝,升级款,9651.66,缺货,P000021,2025-05-20,2025-11-06 21:40:05,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000122,星河汽车用品商品122,汽车用品,星河,升级款,5807.83,下架,P000106,2022-02-22,2022-08-22 19:59:24,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000123,海蓝食品生鲜商品123,食品生鲜,海蓝,Pro版,7677.82,上架,P000020,2023-10-31,2025-07-15 19:15:23,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000124,飞鹿服饰鞋包商品124,服饰鞋包,飞鹿,标准款,3438.76,上架,P000040,2025-03-09,2025-03-17 13:29:49,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000125,云启运动户外商品125,运动户外,云启,青春版,918.19,上架,P000054,2023-02-12,2025-07-09 15:05:32,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000126,银杉家居家装商品126,家居家装,银杉,青春版,9302.52,下架,P000004,2024-04-13,2025-01-14 16:38:56,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000127,极光手机数码商品127,手机数码,极光,升级款,1172.37,上架,P000055,2023-12-26,2024-09-25 11:57:02,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000128,山川汽车用品商品128,汽车用品,山川,青春版,1148.35,缺货,P000112,2023-08-10,2025-07-18 13:32:49,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000129,极光汽车用品商品129,汽车用品,极光,青春版,7069.25,上架,P000111,2020-05-26,2021-09-08 21:12:36,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000130,北辰美妆个护商品130,美妆个护,北辰,Pro版,5370.85,缺货,P000067,2020-11-29,2021-10-07 23:15:00,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000131,海蓝家用电器商品131,家用电器,海蓝,Pro版,2948.64,上架,P000073,2022-06-11,2025-06-04 20:01:55,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000132,橙子手机数码商品132,手机数码,橙子,Pro版,4536.37,缺货,P000089,2020-02-11,2025-12-26 09:28:30,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000133,青木家居家装商品133,家居家装,青木,豪华款,9957.18,下架,P000102,2020-06-18,2023-02-10 21:01:58,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000134,青木美妆个护商品134,美妆个护,青木,标准款,6385.37,缺货,P000025,2024-06-23,2025-10-11 20:22:09,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000135,银杉母婴用品商品135,母婴用品,银杉,升级款,-6956.22,下架,P000020,2022-08-24,2025-05-01 03:25:00,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000136,青木图书文具商品136,图书文具,青木,升级款,2182.72,下架,P000103,2020-06-17,2024-06-04 22:22:09,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000137,云启美妆个护商品137,美妆个护,云启,升级款,5678.74,上架,P000083,2022-10-29,2024-10-20 12:08:36,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000138,青木图书文具商品138,图书文具,青木,标准款,7039.06,上架,P000039,2020-05-11,2022-05-06 19:53:37,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000139,银杉图书文具商品139,图书文具,银杉,豪华款,6475.89,上架,P000015,2024-09-01,2024-12-18 08:44:47,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000140,云启食品生鲜商品140,食品生鲜,云启,升级款,9060.19,缺货,P000136,2020-01-19,2023-10-23 11:31:41,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000141,青木图书文具商品141,图书文具,青木,升级款,6394.25,下架,P000095,2024-01-10,2024-12-22 01:16:56,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000142,极光图书文具商品142,图书文具,极光,豪华款,5530.7,缺货,P000048,2025-06-12,2025-09-18 23:10:07,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000143,星河服饰鞋包商品143,服饰鞋包,星河,升级款,883.11,上架,P000044,2024-12-22,2025-04-30 00:20:19,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000144,飞鹿服饰鞋包商品144,服饰鞋包,飞鹿,豪华款,2225.23,缺货,P000142,2022-03-16,2023-06-08 07:45:50,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000145,银杉美妆个护商品145,美妆个护,银杉,青春版,7866.16,上架,P000136,2022-09-20,2024-01-06 08:00:52,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000146,山川家用电器商品146,家用电器,山川,标准款,1822.72,缺货,P000101,2021-01-07,2022-01-25 18:00:58,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000147,橙子服饰鞋包商品147,服饰鞋包,橙子,青春版,563.0,下架,P000069,2022-03-24,2022-11-20 12:38:59,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000148,山川图书文具商品148,图书文具,山川,青春版,3040.48,上架,P000139,2022-08-20,2025-05-13 18:31:11,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000149,云启美妆个护商品149,美妆个护,云启,升级款,363.52,缺货,P000097,2020-02-01,2022-01-10 02:18:25,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000150,飞鹿母婴用品商品150,母婴用品,飞鹿,标准款,9175.99,上架,P000037,2020-11-04,2023-07-06 21:31:39,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000151,飞鹿食品生鲜商品151,食品生鲜,飞鹿,标准款,6455.84,下架,P000136,2021-10-30,2025-08-13 14:03:52,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000152,山川手机数码商品152,手机数码,山川,青春版,6481.76,缺货,P000125,2020-12-10,2025-12-08 18:28:34,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000153,北辰图书文具商品153,图书文具,北辰,升级款,315.78,下架,P000061,2023-05-27,2025-11-06 12:27:52,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000154,飞鹿手机数码商品154,手机数码,飞鹿,青春版,6614.68,下架,P000032,2021-04-19,2023-09-02 01:41:54,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000155,橙子家居家装商品155,家居家装,橙子,Pro版,2595.7,缺货,P000110,2020-07-07,2021-07-21 22:54:27,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000156,极光手机数码商品156,手机数码,极光,豪华款,671.52,上架,P000131,2024-06-09,2025-07-19 16:03:57,2026-07-10 17:29:08.301937,ECommerce,202607101729
